Symbol,Name,Sector
A,"Agilent Technologies Inc","Information Technology"
AA,"Alcoa Inc",Materials
AAN,"Aaron's Inc.","Consumer Discretionary"
AAON,"Aaon Inc",Industrials
AAP,"Advance Auto Parts Inc","Consumer Discretionary"
AAPL,"Apple Inc.","Information Technology"
AAT,"American Assets Trust Inc.",Financials
AAWW,"Atlas Air Worldwide Holdings Inc.",Industrials
ABAX,"Abaxis Inc","Health Care"
ABBV,"AbbVie Inc.","Health Care"
ABC,"AmerisourceBergen Corp","Health Care"
ABM,"ABM Industries Inc",Industrials
ABMD,"Abiomed Inc.","Health Care"
ABT,"Abbott Laboratories","Health Care"
ACAT,"Arctic Cat Inc","Consumer Discretionary"
ACC,"American Campus Communities Inc.",Financials
ACE,"ACE Limited",
ACET,"Aceto Corp.",Industrials
ACI,"Arch Coal",Energy
ACIW,"ACI Worldwide Inc","Information Technology"
ACM,"Aecom Technology Corp",Industrials
ACN,"Accenture plc","Information Technology"
ACOR,"Acorda Therapeutics Inc.","Health Care"
ACT,"Actavis, Inc.","Health Care"
ACXM,"Acxiom Corp","Information Technology"
ADBE,"Adobe Systems Inc","Information Technology"
ADC,"Agree Realty Corp.",Financials
ADI,"Analog Devices Inc","Information Technology"
ADM,"Archer-Daniels-Midland Co","Consumer Staples"
ADP,"Automatic Data Processing","Information Technology"
ADS,"Alliance Data Systems Corp","Information Technology"
ADSK,"Autodesk Inc","Information Technology"
ADT,"ADT Corp.",Industrials
ADTN,"ADTRAN Inc","Information Technology"
ADVS,"Advent Software Inc","Information Technology"
AEC,"Associated Estates Realty Corp.",Financials
AEE,"Ameren Corp",Utilities
AEGN,"Insituform Technologies Inc",Industrials
AEIS,"Advanced Energy Industries","Information Technology"
AEO,"American Eagle Outfitters","Consumer Discretionary"
AEP,"American Electric Power",Utilities
AES,"AES Corp",Utilities
AET,"Aetna Inc","Health Care"
AF,"Astoria Financial Corp (NY)",Financials
AFAM,"Almost Family Inc","Health Care"
AFFX,"Affymetrix Inc","Health Care"
AFG,"American Financial Group",Financials
AFL,"AFLAC Inc",Financials
AGCO,"AGCO Corp",Industrials
AGN,"Allergan Inc","Health Care"
AGYS,"Agilysys Inc","Information Technology"
AHL,"Aspen Insurance Holdings Ltd.",Financials
AHS,"AMN Healthcare Services Inc","Health Care"
AIG,"American Intl Group Inc",Financials
AIN,"Albany Intl Corp A",Industrials
AIR,"AAR Corp",Industrials
AIRM,"Air Methods Corp","Health Care"
AIT,"Applied Industrial Technologies",Industrials
AIV,"Apartment Investment & Mgmt",Financials
AIZ,"Assurant Inc",Financials
AJG,"Gallagher	Financials",
AKAM,"Akamai Technologies Inc","Information Technology"
AKR,"Acadia Realty Trust",Financials
AKRX,"Akorn, Inc.","Health Care"
AKS,"AK Steel Hldg Corp",Materials
ALB,"Albemarle Corp",Materials
ALE,"Allete Inc",Utilities
ALEX,"Alexander & Baldwin Inc",Industrials
ALGN,"Align Technology Inc","Health Care"
ALGT,"Allegiant Travel Co",Services
ALK,"Alaska Air Group Inc",Industrials
ALL,"Allstate Corp",Financials
ALLE,"Allegion plc",Industrials
ALOG,"Analogic Corp","Health Care"
ALTR,"Altera Corp","Information Technology"
ALXN,"Alexion Pharmaceuticals, Inc.","Health Care"
AMAT,"Applied Materials Inc","Information Technology"
AMCX,"AMC Networks Inc.","Consumer Discretionary"
AMD,"Advanced Micro Devices","Information Technology"
AME,"AMETEK Inc",Industrials
AMED,"Amedisys Inc","Health Care"
AMG,"Affiliated Managers Grp",Financials
AMGN,"Amgen Inc","Health Care"
AMP,"Ameriprise Financial Inc",Financials
AMRI,"Albany Molecular Research Inc.","Health Care"
AMSF,Amerisafe,Financials
AMSG,"Amsurg Corp","Health Care"
AMT,"American Tower Corp A","Telecommunications Services"
AMWD,"American Woodmark Corp.",Industrials
AMZN,"Amazon.com Inc","Consumer Discretionary"
AN,"AutoNation Inc","Consumer Discretionary"
ANDE,"Andersons Inc","Consumer Staples"
ANF,"Abercrombie & Fitch Company A","Consumer Discretionary"
ANIK,"Anika Therapeutics Inc.","Health Care"
ANN,"AnnTaylor Stores Corp","Consumer Discretionary"
ANSS,"ANSYS Inc","Information Technology"
AOI,"Alliance One International Inc","Consumer Staples"
AOL,"AOL Inc",Technology
AON,"Aon Corp",Financials
AOS,"Smith	Industrials",
APA,"Apache Corp",Energy
APC,"Anadarko Petroleum Corp",Energy
APD,"Air Products & Chemicals Inc",Materials
APEI,"American Public Education Inc","Consumer Discretionary"
APH,"Amphenol Corp A","Information Technology"
APOG,"Apogee Enterprises Inc",Industrials
APOL,"Apollo Group Inc","Consumer Discretionary"
ARCB,"ArcBest Corp",Industrials
ARE,"Alexandria Real Estate Eqty",Financials
AREX,"Approach Resources Inc.",Energy
ARG,"Airgas Inc",Materials
ARO,"Aeropostale Inc","Consumer Discretionary"
ARRS,"Arris Group Inc","Information Technology"
ARW,"Arrow Electronics Inc","Information Technology"
ASBC,"Associated Banc-Corp (IL)",Financials
ASEI,"American Science & Engineering",Industrials
ASGN,"On Assignment Inc",Industrials
ASH,"Ashland Inc",Materials
ASNA,"Dress Barn Inc","Consumer Discretionary"
ASTE,"Astec Industries Inc",Industrials
ATI,"Allegheny Technologies Inc",Materials
ATK,"Alliant Techsystems Hldgs",Industrials
ATML,"Atmel Corp","Information Technology"
ATNI,"Atlantic Tele-Network","Telecommunciation Services"
ATO,"Atmos Energy Corp",Utilities
ATR,"AptarGroup Inc",Materials
ATU,"Actuant Corp",Industrials
ATW,"Atwood Oceanics Inc",Energy
AVA,"Avista Corp",Utilities
AVAV,"Aerovironment Inc",Industrials
AVB,"AvalonBay Communities Inc",Financials
AVD,"American Vanguard Corp",Materials
AVGO,"Avago Technologies","Information Technology"
AVP,"Avon Products","Consumer Staples"
AVT,"Avnet Inc","Information Technology"
AVY,"Avery Dennison Corp",Industrials
AWR,"American States Water Co",Utilities
AXE,"Anixter Intl Inc","Information Technology"
AXP,"American Express Co",Financials
AYI,"Acuity Brands Inc",Industrials
AZO,"AutoZone Inc","Consumer Discretionary"
AZZ,"AZZ Incorporated",Industrials
B,"Barnes Group Inc",Industrials
BA,"Boeing Co",Industrials
BABY,"Natus Medical Inc","Health Care"
BAC,"Bank of America Corp",Financials
BANR,"Banner Corp.",Financials
BAS,"Basic Energy Services",Energy
BAX,"Baxter Intl Inc","Health Care"
BBBY,"Bed Bath & Beyond Inc","Consumer Discretionary"
BBCN,"Nara Bancorp Inc",Financials
BBG,"Bill Barrett Corp",Energy
BBOX,"Black Box Corp","Information Technology"
BBT,"BB&T Corp",Financials
BBY,"Best Buy Co Inc","Consumer Discretionary"
BC,"Brunswick Corp","Consumer Discretionary"
BCC,"Boise Cascade Co.",Materials
BCO,"The Brink's Co",Industrials
BCOR,"Blucora, Inc.","Information Technology"
BCPC,"Balchem Corp",Materials
BCR,"Bard	Health Care",
BDC,"Belden Inc",Industrials
BDX,"Becton	Health Care",
BEAV,"BE Aerospace Inc",Industrials
BELFB,"Bel Fuse Inc B","Information Technology"
BEN,"Franklin Resources Inc",Financials
BF_B,"Brown-Forman Corp B","Consumer Staples"
